[22:04:51] [trace   ] iKAN: Initializing...
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017115593
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015376568
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017374516
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016467094
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015636444
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01792717
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015847206
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016516209
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017660618
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017532349
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.0152487755
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017185211
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01732254
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015132427
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01772356
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018196106
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.014480114
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017138958
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016700268
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015752792
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015895367
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017152786
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018484116
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015883923
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01762724
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01554966
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.019194126
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.014754772
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01644516
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017397404
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017223358
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.014779091
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018290043
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015041351
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018667221
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016972065
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.013384819
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018378258
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017802238
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016619682
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01497364
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.018054008
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016335964
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.015164375
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.017668724
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016278744
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.016157627
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.01727724
[22:04:56] [info    ] iKAN: 1.4, -6.967591, 0.019330502
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.014745235
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.0163126
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.017379284
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015960217
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.018300533
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.014656544
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.019438744
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.012678146
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01958561
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015238285
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016339302
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.018677711
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.0145196915
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.019342422
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.014369965
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.018004417
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.017666817
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.014605045
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.018164635
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01575327
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01655817
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.015555382
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016723156
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016915321
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016386032
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.019670963
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.014250755
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016544819
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01896143
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.013906956
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01586485
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.017997742
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01711607
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.01536417
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.017992496
[22:04:57] [info    ] iKAN: 1.4, -6.967591, 0.016643047
